Trans. Date;abnormality
2020-11-01;0
2020-11-02;0
2020-11-03;0
2020-11-04;1
2020-11-05;0
2020-11-06;0
2020-11-07;0
2020-11-08;0
2020-11-09;0
2020-11-10;0
2020-11-11;1
2020-11-12;0
2020-11-13;1
2020-11-14;0
2020-11-15;0
2020-11-16;0
2020-11-17;1
2020-11-18;1
2020-11-19;0
2020-11-20;0
2020-11-21;0
2020-11-22;0
2020-11-23;0
2020-11-24;1
2020-11-25;0
2020-11-26;0
2020-11-27;1
2020-11-28;0
2020-11-29;0
2020-11-30;0
2020-12-01;0
2020-12-02;0
2020-12-03;0
2020-12-04;0
2020-12-05;1
2020-12-06;0
2020-12-07;0
2020-12-08;1
2020-12-09;0
2020-12-10;0
2020-12-11;0
2020-12-12;0
2020-12-13;0
2020-12-14;0
2020-12-15;0
2020-12-16;0
2020-12-17;1
2020-12-18;0
2020-12-19;0
2020-12-20;0
2020-12-21;0
2020-12-22;0
2020-12-23;0
2020-12-24;0
2020-12-25;0
2020-12-26;0
2020-12-27;0
2020-12-28;0
2020-12-29;1
2020-12-30;0
2020-12-31;1
2021-01-01;0
2021-01-02;0
2021-01-03;0
2021-01-04;0
2021-01-05;0
2021-01-06;1
2021-01-07;0
2021-01-08;0
2021-01-09;0
2021-01-10;0
2021-01-11;0
2021-01-12;0
2021-01-13;0
2021-01-14;0
2021-01-15;0
2021-01-16;0
2021-01-17;0
2021-01-18;0
2021-01-19;0
2021-01-20;0
2021-01-21;0
2021-01-22;0
2021-01-23;0
2021-01-24;0
2021-01-25;0
2021-01-26;1
2021-01-27;1
2021-01-28;0
2021-01-29;0
2021-01-30;0
2021-01-31;0
2021-02-01;0
2021-02-02;0
2021-02-03;0
2021-02-04;0
2021-02-05;0
2021-02-06;0
2021-02-07;0
2021-02-08;0
2021-02-09;0
2021-02-10;0
2021-02-11;1
2021-02-12;0
2021-02-13;0
2021-02-14;0
2021-02-15;0
2021-02-16;0
2021-02-17;0
2021-02-18;0
2021-02-19;0
2021-02-20;0
2021-02-21;0
2021-02-22;0
2021-02-23;1
2021-02-24;0
2021-02-25;0
2021-02-26;0
2021-02-27;0
2021-02-28;0
2021-03-01;0
2021-03-02;0
2021-03-03;1
2021-03-04;1
2021-03-05;0
2021-03-06;0
2021-03-07;0
2021-03-08;0
2021-03-09;0
2021-03-10;0
2021-03-11;0
2021-03-12;0
2021-03-13;0
2021-03-14;0
2021-03-15;0
2021-03-16;0
2021-03-17;0
2021-03-18;0
2021-03-19;0
2021-03-20;0
2021-03-21;0
2021-03-22;0
2021-03-23;0
2021-03-24;1
2021-03-25;0
2021-03-26;0
2021-03-27;0
2021-03-28;0
2021-03-29;0
2021-03-30;0
2021-03-31;0
2021-04-01;0
2021-04-02;0
2021-04-03;0
2021-04-04;1
2021-04-05;0
2021-04-06;1
2021-04-07;0
2021-04-08;0
2021-04-09;0
2021-04-10;0
2021-04-11;0
2021-04-12;0
2021-04-13;0
2021-04-14;0
2021-04-15;1
2021-04-16;0
2021-04-17;0
2021-04-18;0
2021-04-19;0
2021-04-20;0
2021-04-21;1
2021-04-22;1
2021-04-23;1
2021-04-24;0
2021-04-25;0
